orden,total,fecha pago,status
BP_RHAY0,9759942.5,2023-07-03,Completo
BP_CPCPW,995718.75,2023-03-24,Cancelado
BP_UDE3S,5638384.0,2023-01-20,Completo
BP_OIL3A,7548504.0,2023-09-11,Completo
BP_IJIUS,1221066.0,2023-01-09,Completo
BP_A8OJX,596706.66,2023-03-02,Completo
BP_WNR11,16414858.08,2023-06-17,Completo
BP_ROXBK,9042467.52,2023-02-08,Completo
BP_M3OK9,11923821.5,2023-02-27,Proceso
BP_JY3K7,6727622.75,2023-09-18,Completo
BP_8OH0S,2274340.94,2023-05-03,Completo
BP_JAKKT,1174528.5,2023-08-12,Proceso
BP_QY3BV,1191378.66,2023-10-30,Completo
BP_QU3OE,2723791.28,2023-08-16,Completo
BP_YZDXL,1191214.56,2023-02-07,Completo
BP_0XHUS,7972379.0,2023-10-19,Completo
BP_QSHLW,912704.8,2023-03-19,Proceso
BP_2IW16,1550521.45,2023-02-02,Completo
BP_O2SFH,857823.24,2023-05-26,Completo
BP_0WF4O,835084.94,2023-04-11,Completo
BP_HYM7H,1451999.5,2023-08-19,Completo
BP_0KLLX,607651.22,2023-09-20,Completo
BP_2NYZF,492432.0,2023-03-24,Completo
BP_T0V21,10517883.76,2023-04-14,Proceso
BP_JFLSE,1063387.77,2023-06-21,Completo
BP_8A9PV,809347.13,2023-01-28,Completo
BP_G23O5,9952317.5,2023-02-07,Completo
BP_TRF6N,1356766.08,2023-07-20,Completo
BP_0GQBZ,2357168.66,2023-02-22,Completo
BP_I9W36,5859865.85,2023-03-07,Proceso
BP_JSVJ3,640957.5,2023-05-18,Completo
BP_0FHT6,1113511.0,2023-07-03,Completo
BP_SIGAU,979751.15,2023-01-27,Proceso
BP_Q9QA4,961479.5,2023-03-02,Completo
BP_KHXGC,886784.96,2023-06-28,Cancelado
BP_CH7GL,547610.03,2023-02-19,Completo
BP_OKFEB,6919241.56,2023-10-02,Proceso
BP_EXHYO,1707293.25,2023-09-06,Proceso
BP_T2GAG,1460615.99,2023-07-27,Cancelado
BP_PC145,1176346.78,2023-02-23,Completo
BP_VD8JD,3795026.95,2023-04-20,Cancelado
BP_J2R8D,2653657.0,2023-01-14,Completo
BP_4NW9U,1665328.0,2023-04-27,Completo
BP_QW7VG,1044454.72,2023-03-13,Completo
BP_T9E31,938126.0,2023-08-08,Completo
BP_2N6TD,2408886.02,2023-03-05,Completo
BP_8LAO4,7163489.06,2023-02-26,Proceso
BP_NAZ9J,412459.24,2023-03-20,Cancelado
BP_X64ZA,2219208.5,2023-01-14,Completo
BP_G2MB1,2594332.6,2023-09-19,Proceso
BP_S0O7H,909722.25,2023-07-11,Cancelado
BP_0NLTQ,1659669.62,2023-07-29,Completo
BP_O5KPO,1769158.5,2023-01-11,Completo
BP_X84W4,369046.5,2023-08-05,Completo
BP_S21TU,2532588.0,2023-10-28,Completo
BP_E224G,11031377.26,2023-06-12,Completo
BP_0YLFG,3642060.0,2023-07-04,Completo
BP_O1TVL,1539977.0,2023-03-03,Completo
BP_PVH0V,5554147.0,2023-04-19,Completo
BP_9BMLT,2324158.62,2023-01-14,Completo
BP_S2FC6,2060430.02,2023-01-21,Proceso
BP_92UKU,729113.95,2023-05-22,Proceso
